poiId,poiName
556844,눈스퀘어
542545,한국도로공사수목원
521688,홈플러스서부산점
2848383,동의보감촌
1928718,문암생태공원
3858331,바다향기수목원
386876,울산농수산물도매시장
501769,통도환타지아휴장
492911,언양자수정동굴나라
1530098,오투CC
2877559,중대물빛공원
5686710,롯데식품관평촌점
310896,부산CC
3032731,롯데팩토리아울렛가산점
723162,이마트마산점
1930974,대전아쿠아리움
401298,대진항
2783843,지웰시티몰
10318332,아르떼뮤지엄강릉
8873925,밀양노벨CC
310900,울산CC
1085760,롯데아울렛서울역점
8795477,현대시티아울렛대구점
668699,서울중앙시장
226019,오이도포구해양관광단지
245714,롯데마트청주점
2369481,롯데마트맥스창원중앙점
5912197,상하농원
1788159,롯데마트동두천점
170006,에딘버러CC
5803613,율곡수목원
387324,삼척중앙시장
1168249,국립아시아문화전당
1181651,홈플러스동청주점
1530416,아난티클럽제주
310892,동래베네스트GC
254137,설악프라자CC
1167131,2001아울렛구로점
209402,낙성대공원
429332,천호공원
5663396,롯데아울렛고양터미널점
375638,불갑사
6810541,롯데피트인산본점
219705,중부시장
152197,뿌리공원
2341047,공주한옥마을
329058,화순CC
1185419,가나아트파크
2586262,대구미술관
310897,골프존카운티선산
10323070,롯데월드어드벤처부산
368185,암남공원
427895,달아공원
1528627,롯데마트시티세븐점
310894,마우나오션CC
365761,대전예술의전당
404001,인구해변
2230704,홈플러스킨텍스점
662002,육거리종합시장
7888074,대구신세계백화점파미에타운
5411172,아트몰링하단점
2850830,이마트펜타포트점
668705,청량리청과물시장
2845139,행주산성역사공원
152117,용두산공원
1434447,오산오색시장
2630567,파주리조트골프클럽PRGC
1606546,알펜시아700GC
367409,한라수목원
367571,방어진항
1562086,롯데마트맥스송천점
502316,조일프라자골프클럽
1794100,남원상록골프장
189327,여의도공원
552064,롯데마트마산점
1192004,뉴코아아울렛창원점
4090628,당목항
1103909,라온GC
8356625,하이원워터월드
136694,광주각화농산물도매시장
1695637,몽산포항
10108885,수원메쎄
482845,포항경주공항
267331,갑사
2769727,대한민국예술인센터
1007273,이효석문학관
2758698,광주패밀리랜드
2372138,이마트사천점
10293904,오렌지듄스영종골프클럽
1524476,서울풍물시장
2742874,안성맞춤랜드
569721,청주시농수산물도매시장
74064,태인CC
324671,약천사
8969953,모다아울렛부평점
500908,어린이회관
2997949,푸른수목원
482348,고양꽃전시관
8770758,내장산골프앤리조트
33746,부전역
5413690,황산공원
7917265,파크하비오워터킹덤
615698,회룡포
7493008,선샤인랜드
525353,국립전주박물관
666657,용인중앙시장
321971,광주CC
401332,강화광성보
526931,땅끝국민관광지
1195498,홈플러스익산점
8852343,롯데마트이천점
1209393,현대백화점유플렉스중동점
4102201,영등포청과시장
724258,온달관광지
2787643,초막골생태공원
398901,전라남도산림자원연구소
1392665,이마트광명점
523572,골프존카운티구미
492920,청주동물원
1181455,뉴코아아울렛괴정점
1474109,NC아울렛엑스코점
4096329,엠카운티스파힐스CC
566768,제주민속오일시장
1189633,홈플러스부산감만점
1101371,용도수목원
389640,모래시계공원
1525679,홈플러스계룡점
329133,엘리체컨트리클럽
1101808,태산패밀리파크
310910,골프존카운티오라
245986,청주시목련공원
5686804,바라산자연휴양림
1101831,아양아트센터
1008465,노을공원
663645,천룡CC퍼블릭
136937,유성CC
1513477,LF스퀘어인천점
310917,캐슬렉스제주GC
